experiment	checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
tf_train_base_new_try_roll_test_predict_time	20260720	20260721	20260724	buy	0.835069	0.698900	0.694000	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	20260720	20260721	20260724	cat	0.833968	0.702400	0.697300	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	20260720	20260721	20260724	click	0.802264	0.697900	0.695700	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	20260720	20260721	20260724	ext	0.864008	0.811400	0.810800	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	20260724	20260725	20260725	buy	0.832836	0.701300	0.695700	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
tf_train_base_new_try_roll_test_predict_time	20260724	20260725	20260725	cat	0.832524	0.704900	0.698700	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
tf_train_base_new_try_roll_test_predict_time	20260724	20260725	20260725	click	0.804794	0.699200	0.696600	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
tf_train_base_new_try_roll_test_predict_time	20260724	20260725	20260725	ext	0.859802	0.805700	0.806300	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608130431
tf_train_base_new_try_roll_test_predict_time	20260725	20260726	20260726	buy	0.836118	0.715500	0.709500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
tf_train_base_new_try_roll_test_predict_time	20260725	20260726	20260726	cat	0.835471	0.718600	0.712400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
tf_train_base_new_try_roll_test_predict_time	20260725	20260726	20260726	click	0.805168	0.709700	0.706900	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
tf_train_base_new_try_roll_test_predict_time	20260725	20260726	20260726	ext	0.855698	0.803500	0.800800	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608130511
tf_train_base_new_try_roll_test_predict_time	20260726	20260727	20260727	buy	0.839539	0.705700	0.698100	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
tf_train_base_new_try_roll_test_predict_time	20260726	20260727	20260727	cat	0.838240	0.708400	0.701200	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
tf_train_base_new_try_roll_test_predict_time	20260726	20260727	20260727	click	0.803290	0.697100	0.694300	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
tf_train_base_new_try_roll_test_predict_time	20260726	20260727	20260727	ext	0.859491	0.811000	0.811200	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608130551
tf_train_base_new_try_roll_test_predict_time	20260727	20260728	20260728	buy	0.840162	0.703000	0.696200	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
tf_train_base_new_try_roll_test_predict_time	20260727	20260728	20260728	cat	0.838793	0.706600	0.699200	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
tf_train_base_new_try_roll_test_predict_time	20260727	20260728	20260728	click	0.803893	0.700000	0.696600	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
tf_train_base_new_try_roll_test_predict_time	20260727	20260728	20260728	ext	0.865000	0.824100	0.824500	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608130619
tf_train_base_new_try_roll_test_predict_time	20260728	20260729	20260729	buy	0.838792	0.703600	0.697900	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
tf_train_base_new_try_roll_test_predict_time	20260728	20260729	20260729	cat	0.837613	0.707300	0.701500	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
tf_train_base_new_try_roll_test_predict_time	20260728	20260729	20260729	click	0.805116	0.703400	0.699800	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
tf_train_base_new_try_roll_test_predict_time	20260728	20260729	20260729	ext	0.856610	0.812700	0.812600	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608130645
tf_train_base_new_try_roll_test_predict_time	20260729	20260730	20260730	buy	0.838903	0.703900	0.697800	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
tf_train_base_new_try_roll_test_predict_time	20260729	20260730	20260730	cat	0.837910	0.708100	0.701500	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
tf_train_base_new_try_roll_test_predict_time	20260729	20260730	20260730	click	0.805169	0.703200	0.699700	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
tf_train_base_new_try_roll_test_predict_time	20260729	20260730	20260730	ext	0.862085	0.805500	0.805900	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608130714
tf_train_base_new_try_roll_test_predict_time	20260730	20260731	20260731	buy	0.839150	0.707600	0.701700	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
tf_train_base_new_try_roll_test_predict_time	20260730	20260731	20260731	cat	0.838000	0.711300	0.705100	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
tf_train_base_new_try_roll_test_predict_time	20260730	20260731	20260731	click	0.806877	0.706200	0.703100	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
tf_train_base_new_try_roll_test_predict_time	20260730	20260731	20260731	ext	0.858310	0.814400	0.813200	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608130743
tf_train_base_new_try_roll_test_predict_time	20260731	20260801	20260801	buy	0.833267	0.703800	0.696100	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
tf_train_base_new_try_roll_test_predict_time	20260731	20260801	20260801	cat	0.832661	0.706100	0.698400	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
tf_train_base_new_try_roll_test_predict_time	20260731	20260801	20260801	click	0.804448	0.702000	0.697800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
tf_train_base_new_try_roll_test_predict_time	20260731	20260801	20260801	ext	0.856796	0.813400	0.811400	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
BR_train_buy_pairwise_loss	20260720	20260721	20260724	buy	0.835208	0.698300	0.693300	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140602
BR_train_buy_pairwise_loss	20260720	20260721	20260724	cat	0.834130	0.701900	0.696600	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140602
BR_train_buy_pairwise_loss	20260720	20260721	20260724	click	0.802519	0.698600	0.696000	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140602
BR_train_buy_pairwise_loss	20260720	20260721	20260724	ext	0.864199	0.811900	0.810600	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140602
BR_train_buy_pairwise_loss	20260724	20260725	20260725	buy	0.832884	0.701800	0.695600	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140751
BR_train_buy_pairwise_loss	20260724	20260725	20260725	cat	0.832571	0.706400	0.700000	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140751
BR_train_buy_pairwise_loss	20260724	20260725	20260725	click	0.804797	0.699900	0.697300	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140751
BR_train_buy_pairwise_loss	20260724	20260725	20260725	ext	0.859494	0.805300	0.803200	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140751
BR_train_buy_pairwise_loss	20260725	20260726	20260726	buy	0.836359	0.715900	0.710000	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140827
BR_train_buy_pairwise_loss	20260725	20260726	20260726	cat	0.835674	0.718400	0.712400	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140827
BR_train_buy_pairwise_loss	20260725	20260726	20260726	click	0.805514	0.709400	0.706700	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140827
BR_train_buy_pairwise_loss	20260725	20260726	20260726	ext	0.855296	0.801300	0.797400	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140827
BR_train_buy_pairwise_loss	20260726	20260727	20260727	buy	0.839379	0.707000	0.699300	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140905
BR_train_buy_pairwise_loss	20260726	20260727	20260727	cat	0.838101	0.710300	0.703200	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140905
BR_train_buy_pairwise_loss	20260726	20260727	20260727	click	0.803172	0.698500	0.695700	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140905
BR_train_buy_pairwise_loss	20260726	20260727	20260727	ext	0.860497	0.813000	0.810800	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608140905
BR_train_buy_pairwise_loss	20260727	20260728	20260728	buy	0.840168	0.704400	0.697000	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140931
BR_train_buy_pairwise_loss	20260727	20260728	20260728	cat	0.838865	0.707500	0.699600	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140931
BR_train_buy_pairwise_loss	20260727	20260728	20260728	click	0.804034	0.701100	0.697400	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140931
BR_train_buy_pairwise_loss	20260727	20260728	20260728	ext	0.864894	0.825600	0.823100	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608140931
BR_train_buy_pairwise_loss	20260728	20260729	20260729	buy	0.838992	0.703900	0.698300	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140956
BR_train_buy_pairwise_loss	20260728	20260729	20260729	cat	0.837777	0.707800	0.701900	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140956
BR_train_buy_pairwise_loss	20260728	20260729	20260729	click	0.805338	0.704900	0.701200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140956
BR_train_buy_pairwise_loss	20260728	20260729	20260729	ext	0.855947	0.810800	0.806000	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608140956
BR_train_buy_pairwise_loss	20260729	20260730	20260730	buy	0.838910	0.705000	0.698500	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141023
BR_train_buy_pairwise_loss	20260729	20260730	20260730	cat	0.837873	0.708500	0.701800	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141023
BR_train_buy_pairwise_loss	20260729	20260730	20260730	click	0.805223	0.703000	0.699300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141023
BR_train_buy_pairwise_loss	20260729	20260730	20260730	ext	0.861413	0.805700	0.806300	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608141023
BR_train_buy_pairwise_loss	20260730	20260731	20260731	buy	0.839410	0.708600	0.703000	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141050
BR_train_buy_pairwise_loss	20260730	20260731	20260731	cat	0.838332	0.711500	0.705700	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141050
BR_train_buy_pairwise_loss	20260730	20260731	20260731	click	0.807130	0.706300	0.703600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141050
BR_train_buy_pairwise_loss	20260730	20260731	20260731	ext	0.858736	0.822700	0.822200	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608141050
BR_train_buy_pairwise_loss	20260731	20260801	20260801	buy	0.833199	0.704700	0.697200	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141125
BR_train_buy_pairwise_loss	20260731	20260801	20260801	cat	0.832605	0.707700	0.700300	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141125
BR_train_buy_pairwise_loss	20260731	20260801	20260801	click	0.804377	0.703200	0.699200	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141125
BR_train_buy_pairwise_loss	20260731	20260801	20260801	ext	0.856600	0.814900	0.811000	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608141125
BR_train_dcn_v2	20260720	20260721	20260724	buy	0.834486	0.698200	0.693400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140325
BR_train_dcn_v2	20260720	20260721	20260724	cat	0.833463	0.701800	0.696900	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140325
BR_train_dcn_v2	20260720	20260721	20260724	click	0.801708	0.697800	0.695400	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140325
BR_train_dcn_v2	20260720	20260721	20260724	ext	0.863337	0.811000	0.809800	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140325
BR_train_dcn_v2	20260724	20260725	20260725	buy	0.834025	0.701300	0.695200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140513
BR_train_dcn_v2	20260724	20260725	20260725	cat	0.833534	0.705400	0.699000	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140513
BR_train_dcn_v2	20260724	20260725	20260725	click	0.805419	0.699800	0.697300	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140513
BR_train_dcn_v2	20260724	20260725	20260725	ext	0.858717	0.804500	0.801700	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608140513
BR_train_dcn_v2	20260725	20260726	20260726	buy	0.835839	0.715000	0.709000	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140551
BR_train_dcn_v2	20260725	20260726	20260726	cat	0.835229	0.717400	0.711100	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608140551
